Province,County,Zip,GB1999,FullName,Latitude,Longitude
江西省,南昌市,330000,p360000/c360100/x,江西省南昌市, 28.682892 , 115.858198
江西省,景德镇市,333000,p360000/c360200/x,江西省景德镇市, 29.268836 , 117.178420
江西省,萍乡市,337000,p360000/c360300/x,江西省萍乡市, 27.622768 , 113.854556
江西省,九江市,332000,p360000/c360400/x,江西省九江市, 29.705078 , 116.001930
江苏省,南京市,210000,p320000/c320100/x,江苏省南京市, 32.060255 , 118.796877
江苏省,无锡市,214000,p320000/c320200/x,江苏省无锡市, 31.491170 , 120.311910
江苏省,徐州市,221000,p320000/c320300/x,江苏省徐州市, 34.205768 , 117.284124
江苏省,常州市,213000,p320000/c320400/x,江苏省常州市, 31.811226 , 119.974062
江苏省,苏州市,215000,p320000/c320500/x,江苏省苏州市, 31.298974 , 120.585297
江苏省,南通市,226000,p320000/c320600/x,江苏省南通市, 31.980172 , 120.894291
江苏省,连云港市,222000,p320000/c320700/x,江苏省连云港市, 34.596653 , 119.221611
江苏省,淮安市,223000,p320000/c320800/x,江苏省淮安市, 33.610360 , 119.015288
江苏省,盐城市,224000,p320000/c320900/x,江苏省盐城市, 33.347383 , 120.163562
江苏省,扬州市,225000,p320000/c321000/x,江苏省扬州市, 32.394210 , 119.412966
江苏省,镇江市,212000,p320000/c321100/x,江苏省镇江市, 32.187849 , 119.425836
江苏省,泰州市,225300,p320000/c321200/x,江苏省泰州市, 32.455778 , 119.923116
江苏省,宿迁市,223800,p320000/c321300/x,江苏省宿迁市, 33.963232 , 118.275198
河北省,石家庄市,050000,p130000/c130100/x,河北省石家庄市, 38.042307 , 114.514860
河北省,唐山市,063000,p130000/c130200/x,河北省唐山市, 39.630867 , 118.180194
河北省,秦皇岛市,066000,p130000/c130300/x,河北省秦皇岛市, 39.935385 , 119.600493
河北省,邯郸市,056000,p130000/c130400/x,河北省邯郸市, 36.625657 , 114.538962
河北省,邢台市,054000,p130000/c130500/x,河北省邢台市, 37.070589 , 114.504844
河北省,保定市,071000,p130000/c130600/x,河北省保定市, 38.873891 , 115.464806
河北省,张家口市,075000,p130000/c130700/x,河北省张家口市, 40.767545 , 114.886335
河北省,承德市,067000,p130000/c130800/x,河北省承德市, 40.952942 , 117.962750
河北省,沧州市,061000,p130000/c130900/x,河北省沧州市, 38.304477 , 116.838835
河北省,廊坊市,065000,p130000/c131000/x,河北省廊坊市, 39.538047 , 116.683752
河北省,衡水市,053000,p130000/c131100/x,河北省衡水市, 37.738920 , 115.670177
甘肃省,兰州市,730000,p620000/c620100/x,甘肃省兰州市, 36.061089 , 103.834304
甘肃省,嘉裕关市,735100,p620000/c620200/x,甘肃省嘉裕关市, 39.773130 , 98.289152
甘肃省,金昌市,737100,p620000/c620300/x,甘肃省金昌市, 38.520089 , 102.188043
甘肃省,白银市,730900,p620000/c620400/x,甘肃省白银市, 36.558463 , 104.170134
甘肃省,天水市,741000,p620000/c620500/x,甘肃省天水市, 34.580864 , 105.724947
甘肃省,武威市,733000,p620000/c620600/x,甘肃省武威市, 37.928262 , 102.638084
甘肃省,张掖市,734000,p620000/c620700/x,甘肃省张掖市, 38.925875 , 100.449818
甘肃省,平凉市,744000,p620000/c620800/x,甘肃省平凉市, 35.543061 , 106.665131
甘肃省,酒泉市,735000,p620000/c620900/x,甘肃省酒泉市, 39.732819 , 98.494352
甘肃省,庆阳市,745000,p620000/c621000/x,甘肃省庆阳市, 35.709077 , 107.643631
甘肃省,定西市,743000,p620000/c621100/x,甘肃省定西市, 35.580663 , 104.626282
