Province,County,Zip,GB1999,FullName,Latitude,Longitude,Latency
江苏省,南京市,210000,p320000/c320100/x,江苏省南京市, 32.060255 , 118.796877,305010.8395
江苏省,无锡市,214000,p320000/c320200/x,江苏省无锡市, 31.491170 , 120.311910,249113.82
江苏省,徐州市,221000,p320000/c320300/x,江苏省徐州市, 34.205768 , 117.284124,223888.0825
江苏省,常州市,213000,p320000/c320400/x,江苏省常州市, 31.811226 , 119.974062,1372210.208
江苏省,苏州市,215000,p320000/c320500/x,江苏省苏州市, 31.298974 , 120.585297,323632.227
江苏省,南通市,226000,p320000/c320600/x,江苏省南通市, 31.980172 , 120.894291,102924.0675
江苏省,连云港市,222000,p320000/c320700/x,江苏省连云港市, 34.596653 , 119.221611,10925.658
江苏省,淮安市,223000,p320000/c320800/x,江苏省淮安市, 33.610360 , 119.015288,777663.933
江苏省,盐城市,224000,p320000/c320900/x,江苏省盐城市, 33.347383 , 120.163562,325851.9375
江苏省,扬州市,225000,p320000/c321000/x,江苏省扬州市, 32.394210 , 119.412966,217594.2235
江苏省,镇江市,212000,p320000/c321100/x,江苏省镇江市, 32.187849 , 119.425836,959327.289
江苏省,泰州市,225300,p320000/c321200/x,江苏省泰州市, 32.455778 , 119.923116,959327.289
江苏省,宿迁市,223800,p320000/c321300/x,江苏省宿迁市, 33.963232 , 118.275198,199228.4655
苏州市,吴中区,215100,p320000/c320500/x320506,江苏省苏州市吴中区, 31.262791 , 120.631978,199228.4655
苏州市,相城区,215100,p320000/c320500/x320507,江苏省苏州市相城区, 31.369088 , 120.642663,153164.5175
苏州市,吴江市,215200,p320000/c320500/x320584,江苏省苏州市吴江市, 31.139071 , 120.645135,173758.413
苏州市,昆山市,215300,p320000/c320500/x320583,江苏省苏州市昆山市, 31.385598 , 120.980737,242050.504
苏州市,太仓市,215400,p320000/c320500/x320585,江苏省苏州市太仓市, 31.457735 , 121.130550,235916.904
苏州市,常熟市,215500,p320000/c320500/x320581,江苏省苏州市常熟市, 31.653686 , 120.752503,347458.2825
苏州市,张家港市,215600,p320000/c320500/x320582,江苏省苏州市张家港市, 31.875697 , 120.555678,475170.81
南京市,江宁区,211100,p320000/c320100/x320115,江苏省南京市江宁区, 31.953702 , 118.839685,490009.91
南京市,溧水县,211200,p320000/c320100/x320124,江苏省南京市溧水县, 31.650962 , 119.028472,97623.535
南京市,高淳县,211300,p320000/c320100/x320125,江苏省南京市高淳县, 31.318521 , 118.868670,256711.0175
南京市,六合区,211500,p320000/c320100/x320116,江苏省南京市六合区, 32.322247 , 118.821401,76071.983
南京市,浦口区,211800,p320000/c320100/x320111,江苏省南京市浦口区, 32.059093 , 118.627895,116331.303
无锡市,滨湖区,214100,p320000/c320200/x320211,江苏省无锡市滨湖区, 31.527954 , 120.282692,52063.3545
无锡市,惠山区,214100,p320000/c320200/x320206,江苏省无锡市惠山区, 31.681012 , 120.298500,95608.5305
无锡市,锡山区,214100,p320000/c320200/x320205,江苏省无锡市锡山区, 31.589715 , 120.357858,328234.077
无锡市,宜兴市,214200,p320000/c320200/x320282,江苏省无锡市宜兴市, 31.340637 , 119.823407,158989.0105
无锡市,江阴市,214400,p320000/c320200/x320281,江苏省无锡市江阴市, 31.920658 , 120.284939,738894.19
常州市,武进区,213100,p320000/c320400/x320412,江苏省常州市武进区, 31.701188 , 119.942437,335759.138
常州市,金坛市,213200,p320000/c320400/x320482,江苏省常州市金坛市, 31.723248 , 119.597897,48157.994
常州市,溧阳市,213300,p320000/c320400/x320481,江苏省常州市溧阳市, 31.416911 , 119.484211,729426.1495
徐州市,铜山县,221100,p320000/c320300/x320323,江苏省徐州市铜山县, 34.182556 , 117.174186,176368.408
徐州市,睢宁县,221200,p320000/c320300/x320324,江苏省徐州市睢宁县, 33.912598 , 117.941563,354325.1835
徐州市,邳州市,221300,p320000/c320300/x320382,江苏省徐州市邳州市, 34.338888 , 118.012531,357586.6305
徐州市,新沂市,221400,p320000/c320300/x320381,江苏省徐州市新沂市, 34.369580 , 118.354537,50820.4795
